# Version 1.8.0 / 2024-07-22,,Changes since last version are marked with a yellow background / Änderungen seit der letzten Version sind mit einem gelben Hintergrund markiert.,,,,,,,,
Type,Group,Source,Destination,Filter,Title,Parent,Title DE,Parent DE,Last Update (Version),Last Update (Date)
# Posts,,,,,,,,,,
,,,,,,,,,,
post,,freitexte->objekttitel,post_title,,,,,,,
"# „freitexte->objektbeschreibung“, „freitexte->lage“, „freitexte->ausstatt_beschr“ and „freitexte->sonstige_angaben“ will be concatenated into the main property description field (post_content).",,,,,,,,,,
"# „freitexte->objektbeschreibung“, „freitexte->lage“, „freitexte->ausstatt_beschr“ und „freitexte->sonstige_angaben“ werden in im Haupt-Beschreibungsfeld der Immobilie (post_content) zusammengefügt.",,,,,,,,,,
post,,freitexte->objektbeschreibung+,post_content,,,,,,,
post,,freitexte->lage+,post_content,,,,,,,
post,,freitexte->ausstatt_beschr+,post_content,,,,,,,
post,,freitexte->sonstige_angaben+,post_content,,,,,,,
#post,,freitexte->dreizeiler,post_excerpt,,,,,,,
,,,,,,,,,,
# Taxonomies,,,,,,,,,,
,,,,,,,,,,
#taxonomy,,objektkategorie->nutzungsart:WOHNEN,no_appropriate_taxonomy_in_shandora,,Living Properties,,Wohnimmobilien,,,
#taxonomy,,objektkategorie->nutzungsart:GEWERBE,no_appropriate_taxonomy_in_shandora,,Commercial Properties,,Gewerbeimmobilien,,,
#taxonomy,,objektkategorie->nutzungsart:ANLAGE,no_appropriate_taxonomy_in_shandora,,Investment,,Kapitalanlage,,,
#taxonomy,,objektkategorie->nutzungsart:WAZ,no_appropriate_taxonomy_in_shandora,,Temporary Living,,Wohnen auf Zeit,,,
,,,,,,,,,,
taxonomy,,geo->ort,property-location,,,,,,,
,,,,,,,,,,
taxonomy,,objektkategorie->objektart->zimmer,property-type,,Single Room,Single Rooms,Zimmer,Zimmer,,
taxonomy,,objektkategorie->objektart->wohnung,property-type,,Flat,Flats,Wohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:KEINE_ANGABE,property-type,,Flat,Flats,Wohnung,Wohnungen,1.0.2,2015-04-23
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:DACHGESCHOSS,property-type,,Attic Flat,Flats,DG-Wohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:MAISONETTE,property-type,,Maisonette,Flats,Maisonette-Wohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:LOFT-STUDIO-ATELIER,property-type,,Loft / Studio / Atelier,Flats,Loft / Studio / Atelier,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:PENTHOUSE,property-type,,Penthouse Flat,Flats,Penthouse-Wohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:TERRASSEN,property-type,,Terrace Flat,Flats,Terrassenwohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:ETAGE,property-type,,Apartment,Flats,Etagenwohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:ERDGESCHOSS,property-type,,Ground-floor Flat,Flats,Erdgeschosswohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:SOUTERRAIN,property-type,,Basement Flat,Flats,Souterrainwohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:APARTMENT,property-type,,Apartment,Flats,Apartment,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:FERIENWOHNUNG,property-type,,Holiday Flat,Flats,Ferienwohnung,Wohnungen,,
