# Version 1.6.0 / 2024-07-22,,Changes since last version are marked with a yellow background / Änderungen seit der letzten Version sind mit einem gelben Hintergrund markiert.,,,,,,,,
Type,Group,Source,Destination,Filter,Title,Parent,Title DE,Parent DE,Last Update (Version),Last Update (Date)
# Posts,,,,,,,,,,
,,,,,,,,,,
post,,freitexte->objekttitel,post_title,,,,,,,
"# „freitexte->objektbeschreibung“, „freitexte->lage“, „freitexte->ausstatt_beschr“ and „freitexte->sonstige_angaben“ will be concatenated into the main property description field (post_content).",,,,,,,,,,
"# „freitexte->objektbeschreibung“, „freitexte->lage“, „freitexte->ausstatt_beschr“ und „freitexte->sonstige_angaben“ werden in im Haupt-Beschreibungsfeld der Immobilie (post_content) zusammengefügt.",,,,,,,,,,
post,,freitexte->objektbeschreibung+,post_content,,,,,,,
post,,freitexte->lage+,post_content,,,,,,,
post,,freitexte->ausstatt_beschr+,post_content,,,,,,,
post,,freitexte->sonstige_angaben+,post_content,,,,,,,
post,,freitexte->dreizeiler,post_excerpt,,,,,,,
,,,,,,,,,,
# Taxonomies,,,,,,,,,,
,,,,,,,,,,
#taxonomy,,objektkategorie->nutzungsart:WOHNEN,no_appropriate_taxonomy_in_freehold,,Living Properties,,Wohnimmobilien,,,
#taxonomy,,objektkategorie->nutzungsart:GEWERBE,no_appropriate_taxonomy_in_freehold,,Commercial Properties,,Gewerbeimmobilien,,,
#taxonomy,,objektkategorie->nutzungsart:ANLAGE,no_appropriate_taxonomy_in_freehold,,Investment,,Kapitalanlage,,,
#taxonomy,,objektkategorie->nutzungsart:WAZ,no_appropriate_taxonomy_in_freehold,,Temporary Living,,Wohnen auf Zeit,,,
,,,,,,,,,,
# Examples for setting property categories based on a string included in the free text „sonstige_angaben“,,,,,,,,,,
"# Beispiele für das Setzen von Objektkategorien, wenn ein bestimmtes Wort im Freitext „sonstige_angaben“ enthalten ist",,,,,,,,,,
#taxonomy,,freitexte->sonstige_angaben~Empfehlung,property_type,,featured,,,,,
#taxonomy,,freitexte->sonstige_angaben~Empfehlung,property_type,,widget,,,,,
#taxonomy,,freitexte->sonstige_angaben~Homepage,property_type,,homepage,,,,,
,,,,,,,,,,
taxonomy,,objektkategorie->objektart->zimmer,property_type,,Single Room,Single Rooms,Zimmer,Zimmer,,
taxonomy,,objektkategorie->objektart->wohnung,property_type,,Flat,Flats,Wohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:KEINE_ANGABE,property_type,,Flat,Flats,Wohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:DACHGESCHOSS,property_type,,Attic Flat,Flats,DG-Wohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:MAISONETTE,property_type,,Maisonette,Flats,Maisonette-Wohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:LOFT-STUDIO-ATELIER,property_type,,Loft / Studio / Atelier,Flats,Loft / Studio / Atelier,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:PENTHOUSE,property_type,,Penthouse Flat,Flats,Penthouse-Wohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:TERRASSEN,property_type,,Terrace Flat,Flats,Terrassenwohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:ETAGE,property_type,,Apartment,Flats,Etagenwohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:ERDGESCHOSS,property_type,,Ground-floor Flat,Flats,Erdgeschosswohnung,Wohnungen,,
